DATE,Australian dollar/Euro (EXR.D.AUD.EUR.SP00.A),Bulgarian lev/Euro (EXR.D.BGN.EUR.SP00.A),Brazilian real/Euro (EXR.D.BRL.EUR.SP00.A),Canadian dollar/Euro (EXR.D.CAD.EUR.SP00.A),Swiss franc/Euro (EXR.D.CHF.EUR.SP00.A),Chinese yuan renminbi/Euro (EXR.D.CNY.EUR.SP00.A),Czech koruna/Euro (EXR.D.CZK.EUR.SP00.A),Danish krone/Euro (EXR.D.DKK.EUR.SP00.A),UK pound sterling/Euro (EXR.D.GBP.EUR.SP00.A),Hong Kong dollar/Euro (EXR.D.HKD.EUR.SP00.A),Croatian kuna/Euro (EXR.D.HRK.EUR.SP00.A),Hungarian forint/Euro (EXR.D.HUF.EUR.SP00.A),Indonesian rupiah/Euro (EXR.D.IDR.EUR.SP00.A),Israeli shekel/Euro (EXR.D.ILS.EUR.SP00.A),Indian rupee/Euro (EXR.D.INR.EUR.SP00.A),Iceland krona/Euro (EXR.D.ISK.EUR.SP00.A),Japanese yen/Euro (EXR.D.JPY.EUR.SP00.A),Korean won (Republic)/Euro (EXR.D.KRW.EUR.SP00.A),Mexican peso/Euro (EXR.D.MXN.EUR.SP00.A),Malaysian ringgit/Euro (EXR.D.MYR.EUR.SP00.A),Norwegian krone/Euro (EXR.D.NOK.EUR.SP00.A),New Zealand dollar/Euro (EXR.D.NZD.EUR.SP00.A),Philippine peso/Euro (EXR.D.PHP.EUR.SP00.A),Polish zloty/Euro (EXR.D.PLN.EUR.SP00.A),Romanian leu/Euro (EXR.D.RON.EUR.SP00.A),Russian rouble/Euro (EXR.D.RUB.EUR.SP00.A),Swedish krona/Euro (EXR.D.SEK.EUR.SP00.A),Singapore dollar/Euro (EXR.D.SGD.EUR.SP00.A),Thai baht/Euro (EXR.D.THB.EUR.SP00.A),Turkish lira/Euro (EXR.D.TRY.EUR.SP00.A),US dollar/Euro (EXR.D.USD.EUR.SP00.A),South African rand/Euro (EXR.D.ZAR.EUR.SP00.A)
2021/10/22,1.551,1.9558,6.6304,1.4341,1.0668,7.4337,25.655,7.4405,0.8437,9.0412,7.5265,363.52,16500.43,3.7304,87.074,150.2,132.43,1368.39,23.5402,4.8265,9.7075,1.6257,59.084,4.5975,4.9454,81.8586,9.9748,1.5669,38.763,11.183,1.163,17.0626
2021/10/21,1.5528,1.9558,6.5892,1.4359,1.069,7.4463,25.615,7.4406,0.8429,9.0487,7.5132,363.39,16460.85,3.7379,87.1445,149.8,132.85,1370.6,23.6004,4.8387,9.7065,1.6214,59.124,4.603,4.9467,82.9299,10.0145,1.5672,38.862,10.9681,1.1637,16.9215
2021/10/20,1.5528,1.9558,6.483,1.4349,1.0739,7.4302,25.519,7.4404,0.84503,9.0375,7.5092,361.59,16404.06,3.7357,87.0086,150,132.78,1364.31,23.4814,4.8369,9.7435,1.6219,58.972,4.585,4.9487,82.5141,10.015,1.5629,38.774,10.7821,1.1623,16.8307
2021/10/19,1.5601,1.9558,6.4806,1.4389,1.0716,7.4464,25.505,7.4406,0.84275,9.0635,7.5083,360.64,16422.33,3.7425,87.5,150,133.12,1372.96,23.7003,4.8619,9.734,1.6294,59.157,4.5729,4.9488,82.6346,10.03,1.5666,38.881,10.8484,1.1655,17.0003
2021/10/18,1.5707,1.9558,6.3651,1.4384,1.0712,7.4617,25.453,7.44,0.84438,9.0268,7.5085,361.35,16371.79,3.7402,87.4083,150,132.46,1377.9,23.7177,4.8406,9.7643,1.6436,59.025,4.5787,4.949,82.7185,10.0375,1.5659,38.827,10.774,1.1604,17.1217
2021/10/15,1.564,1.9558,6.3635,1.4342,1.0729,7.4663,25.403,7.4402,0.84368,9.0258,7.5105,359.71,16292.6,3.7409,86.967,149.6,132.65,1371.21,23.8542,4.8241,9.7625,1.6445,58.903,4.5644,4.9465,82.6325,10.0288,1.5637,38.669,10.7132,1.1602,17.0504
2021/10/14,1.5644,1.9558,6.3528,1.4361,1.0686,7.4683,25.387,7.4406,0.84618,9.0244,7.5127,359,16353.05,3.7372,87.3355,149.6,131.65,1375.51,23.8458,4.8195,9.7928,1.6506,58.778,4.5693,4.95,83.1225,10.0138,1.5642,38.524,10.6104,1.1602,17.162
2021/10/13,1.5722,1.9558,6.3814,1.4386,1.0722,7.4482,25.369,7.4407,0.84898,8.9952,7.518,360.2,16438.27,3.7408,87.1095,150,131.3,1378.13,23.9497,4.8098,9.8555,1.6647,58.564,4.5772,4.949,83.0248,10.1195,1.5646,38.478,10.4833,1.1562,17.194
2021/10/12,1.566,1.9558,6.3977,1.4395,1.0729,7.4522,25.376,7.4408,0.84755,8.9915,7.5155,359.91,16396.85,3.7275,87.272,150,131.06,1383.4,24.0232,4.8132,9.8608,1.6591,58.711,4.5805,4.9499,83.0176,10.1078,1.5664,38.501,10.4044,1.1555,17.265
2021/10/11,1.5751,1.9558,6.3719,1.4431,1.0722,7.4644,25.399,7.4412,0.84878,9.0049,7.5155,360.7,16444.42,3.7358,87.334,150,130.7,1383.43,24.0051,4.8264,9.888,1.668,58.924,4.5913,4.9493,82.963,10.1163,1.5665,39.195,10.3726,1.1574,17.3108
2021/10/8,1.5837,1.9558,6.3638,1.4499,1.0734,7.4591,25.434,7.4413,0.8489,9.0066,7.5188,360.19,16430.43,3.7374,86.7495,149.4,129.32,1381.8,23.8295,4.8335,9.8855,1.6686,58.43,4.6182,4.9483,83.239,10.1138,1.5681,39.161,10.311,1.1569,17.2259
2021/10/7,1.5839,1.9558,6.338,1.4545,1.0712,7.4536,25.415,7.4399,0.85023,9.0008,7.515,358.16,16406.7,3.7353,86.408,148.8,128.78,1375.87,23.7032,4.837,9.9388,1.6676,58.308,4.5458,4.9475,83.178,10.1453,1.5697,39.051,10.2594,1.1562,17.2074
2021/10/6,1.5913,1.9558,6.3584,1.4575,1.0715,7.4407,25.415,7.4398,0.8497,8.9876,7.508,359.43,16487.75,3.7452,86.438,148.6,128.52,1379.91,23.9641,4.8297,9.923,1.6728,58.804,4.5925,4.9458,83.6242,10.1628,1.5712,39.116,10.2802,1.1542,17.4561
2021/10/5,1.5937,1.9558,6.3106,1.4612,1.0752,7.4805,25.308,7.4379,0.85173,9.0324,7.505,356.9,16506.62,3.7477,86.488,148,128.99,1376.12,23.7904,4.8482,9.9155,1.665,58.893,4.5998,4.9477,84.1541,10.131,1.5743,39.203,10.2707,1.1602,17.3792
2021/10/4,1.5957,1.9558,6.2579,1.4668,1.0768,7.5013,25.32,7.4374,0.8553,9.0597,7.493,355.9,16575.85,3.7456,86.4025,150.1,129.21,1372.5,23.8512,4.8569,9.977,1.6687,59.06,4.5685,4.9478,84.7198,10.1435,1.5777,39.242,10.2816,1.1636,17.3166
2021/10/1,1.5985,1.9558,6.2816,1.4698,1.0791,7.4781,25.309,7.4372,0.85653,9.0304,7.498,358.16,16563.71,3.7353,85.975,149.7,128.97,1371.32,23.7955,4.8482,10.0204,1.6751,58.752,4.5826,4.947,84.7187,10.1538,1.5733,39.022,10.2583,1.16,17.3449
2021/9/30,1.6095,1.9558,6.2631,1.475,1.083,7.4847,25.495,7.436,0.86053,9.0184,7.4889,360.19,16572.03,3.7363,86.0766,150.9,129.67,1371.58,23.7439,4.8475,10.165,1.6858,59.066,4.6197,4.9475,84.3391,10.1683,1.576,39.235,10.2981,1.1579,17.5629
2021/9/29,1.6112,1.9558,6.3218,1.4793,1.0829,7.5347,25.457,7.436,0.86443,9.0714,7.4975,359.6,16670.71,3.7425,86.467,150.7,129.89,1381.2,23.7082,4.8769,10.143,1.6826,59.203,4.626,4.946,84.6823,10.183,1.5822,39.49,10.3168,1.1654,17.521
2021/9/28,1.6115,1.9558,6.3122,1.4776,1.084,7.5433,25.517,7.436,0.8595,9.0882,7.5013,359.39,16697.39,3.7505,86.5595,149.7,130.17,1385.41,23.5909,4.8843,10.102,1.6781,59.626,4.6176,4.9498,84.7497,10.1933,1.5846,39.46,10.3685,1.1678,17.6299
2021/9/27,1.6129,1.9558,6.2187,1.4812,1.085,7.5609,25.443,7.436,0.8542,9.1054,7.5028,358.13,16673.16,3.7427,86.4025,150.1,129.74,1382.04,23.5043,4.8991,10.0655,1.6711,59.881,4.5955,4.9495,84.9955,10.1738,1.584,39.276,10.3471,1.1698,17.6179
2021/9/24,1.6165,1.9558,6.2332,1.4895,1.083,7.5803,25.408,7.4362,0.85703,9.124,7.4955,356.99,16747.11,3.75,86.471,150.9,129.49,1382.54,23.628,4.9085,10.089,1.6687,59.597,4.6047,4.9508,85.5104,10.138,1.5865,39.2,10.359,1.1719,17.5453
2021/9/23,1.611,1.9558,6.1788,1.485,1.0831,7.5643,25.352,7.4362,0.85495,9.1205,7.4945,356.15,16671.56,3.7491,86.367,151.7,128.88,1374.73,23.4303,4.8992,10.086,1.6622,58.87,4.6077,4.9503,85.2372,10.1398,1.5798,38.964,10.246,1.1715,17.126
2021/9/22,1.6178,1.9558,6.1636,1.4997,1.082,7.585,25.38,7.4361,0.86,9.1333,7.4935,355.28,16694.77,3.7592,86.622,152.1,128.5,1387.87,23.5533,4.9174,10.1268,1.6696,58.995,4.6325,4.9505,85.3877,10.1758,1.5855,39.222,10.1523,1.1729,17.3368
2021/9/21,1.62,1.9558,6.2483,1.4995,1.0845,7.5945,25.4,7.436,0.85855,9.1389,7.4975,354.63,16708.12,3.7664,86.4895,152.3,128.34,1388.85,23.5912,4.9118,10.1828,1.6707,58.825,4.6261,4.9497,85.982,10.1763,1.5866,39.205,10.1586,1.1738,17.4427
2021/9/20,1.6201,1.9558,6.2495,1.5056,1.0883,7.5726,25.432,7.4359,0.85705,9.1188,7.5055,353.97,16742.86,3.7635,86.272,152,128.18,1393.32,23.6419,4.9098,10.243,1.6694,58.845,4.5997,4.9493,86.07,10.2173,1.5839,39.062,10.1512,1.1711,17.3301
2021/9/17,1.6111,1.9558,6.2039,1.4913,1.0931,7.6044,25.296,7.436,0.85363,9.1691,7.5092,351.49,16762.9,3.7752,86.5335,151.4,129.61,1386.26,23.4722,4.914,10.1208,1.6658,58.819,4.5804,4.9488,85.4338,10.1553,1.5851,39.145,10.1323,1.178,17.1891
2021/9/16,1.6077,1.9558,6.1611,1.4863,1.0886,7.5849,25.281,7.436,0.85025,9.1575,7.5041,350.19,16766.34,3.7742,86.473,151.2,128.67,1380.44,23.3728,4.8952,10.1293,1.6548,58.715,4.5763,4.9488,85.2347,10.1518,1.5805,38.918,9.9663,1.1763,17.0544
2021/9/15,1.6153,1.9558,6.1979,1.5004,1.0845,7.6069,25.318,7.4361,0.8551,9.2021,7.4838,348.86,16826.33,3.7881,86.8625,151.2,129.11,1380.77,23.4927,4.917,10.1418,1.6666,58.742,4.5501,4.9485,85.9738,10.136,1.586,38.865,9.9769,1.1824,16.8973
2021/9/14,1.6114,1.9558,6.1788,1.4951,1.0887,7.6168,25.389,7.4361,0.8526,9.1899,7.476,350.05,16857.27,3.7968,87.037,151.2,130.08,1382.66,23.5067,4.917,10.1745,1.6625,58.868,4.5542,4.9485,86.1062,10.1453,1.587,38.927,9.9848,1.1814,16.8097
2021/9/13,1.6015,1.9558,6.1563,1.4931,1.0873,7.6059,25.348,7.4362,0.8512,9.1641,7.4775,349.58,16787.94,3.7795,86.844,151.4,129.62,1383.74,23.401,4.8893,10.1885,1.6575,58.819,4.5518,4.9453,85.8875,10.1853,1.5821,38.762,9.9468,1.178,16.7103
2021/9/10,1.5986,1.9558,6.1436,1.4919,1.0854,7.6228,25.288,7.4362,0.8526,9.2086,7.4861,349.88,16812.55,3.7871,86.9469,151.4,130.03,1380.55,23.5404,4.8998,10.2028,1.6554,59.045,4.5417,4.9413,86.1085,10.1843,1.5847,38.655,9.9558,1.1841,16.6627
2021/9/9,1.6035,1.9558,6.267,1.5002,1.0861,7.6402,25.398,7.4362,0.85555,9.2072,7.4859,350.88,16858.46,3.7926,87.0705,150.8,130.1,1382.73,23.5363,4.9123,10.2648,1.6617,59.085,4.5335,4.9466,86.276,10.1863,1.5901,38.687,10.0272,1.1838,16.7458
2021/9/8,1.6027,1.9558,6.1718,1.4982,1.0888,7.6376,25.394,7.436,0.85873,9.1971,7.479,350.14,16871.1,3.7936,87.0105,150.6,130.31,1377.95,23.5314,4.9135,10.265,1.6633,59.282,4.5178,4.9495,86.626,10.174,1.5909,38.71,9.9891,1.1827,16.8839
2021/9/7,1.6044,1.9558,6.1323,1.4936,1.0853,7.667,25.423,7.4362,0.86115,9.2197,7.479,348.59,16911.96,3.8018,87.1355,150.8,130.51,1380.15,23.6659,4.9284,10.299,1.6667,59.566,4.518,4.9506,86.92,10.1515,1.5956,38.64,9.8735,1.186,16.9774
2021/9/6,1.5952,1.9558,6.1638,1.4883,1.0869,7.6611,25.401,7.436,0.8571,9.2226,7.487,347.03,16876.96,3.7974,86.7135,150.6,130.34,1372.45,23.6212,4.9212,10.2728,1.6612,59.267,4.5208,4.9478,86.5584,10.1658,1.5926,38.516,9.8199,1.1864,16.9075
2021/9/3,1.5961,1.9558,6.1279,1.4879,1.0863,7.6555,25.422,7.4361,0.8584,9.2285,7.4973,348.4,16934.44,3.8023,86.7045,150.6,130.54,1374.06,23.6503,4.9227,10.2738,1.6654,59.202,4.5088,4.9438,86.381,10.1708,1.5941,38.62,9.8574,1.1872,17.0285
2021/9/2,1.6038,1.9558,6.1429,1.4944,1.0848,7.6503,25.382,7.436,0.85915,9.2075,7.501,347.85,16874.01,3.8029,86.5205,150.6,130.31,1372.66,23.6529,4.9256,10.2938,1.6702,59.039,4.5069,4.9393,86.2301,10.1939,1.5921,38.446,9.7942,1.1846,16.9882
2021/9/1,1.6088,1.9558,6.0886,1.4879,1.0845,7.6421,25.406,7.4361,0.85863,9.1907,7.49,348.03,16872.69,3.7846,86.348,149,130.35,1369.25,23.6484,4.9085,10.2633,1.6776,59.163,4.5078,4.9346,86.3373,10.1961,1.5916,38.204,9.7985,1.1817,17.0532
2021/8/31,1.6156,1.9558,6.1386,1.4896,1.0799,7.6465,25.523,7.436,0.85875,9.2086,7.49,348.8,16879.69,3.7951,86.385,149.6,129.95,1370.03,23.7864,4.9194,10.26,1.676,58.765,4.5296,4.9359,86.76,10.1625,1.5897,38.129,9.831,1.1834,17.2282
2021/8/30,1.6167,1.9558,6.1529,1.4867,1.0798,7.6347,25.566,7.4361,0.85748,9.1891,7.4935,348.3,16916.81,3.7998,86.5035,149.8,129.66,1375.03,23.8273,4.9057,10.2395,1.6844,58.786,4.5678,4.9343,86.7119,10.1813,1.5881,38.271,9.8909,1.1801,17.2578
2021/8/27,1.622,1.9558,6.1692,1.4914,1.0796,7.6195,25.563,7.4363,0.85703,9.1619,7.4886,350.87,16968.95,3.8007,86.701,149.2,129.59,1375.78,23.9686,4.9279,10.3575,1.6927,58.754,4.5827,4.934,87.0549,10.2345,1.5888,38.406,9.8809,1.1761,17.5356
2021/8/26,1.6206,1.9558,6.1506,1.4838,1.0789,7.6285,25.546,7.4366,0.85718,9.1625,7.4885,349.18,16996.28,3.7932,87.234,148.6,129.6,1373.36,23.9001,4.9363,10.3615,1.6882,58.803,4.5779,4.9318,87.0756,10.2413,1.592,38.525,9.845,1.1767,17.542
2021/8/25,1.6191,1.9558,6.1707,1.4827,1.0739,7.6031,25.531,7.4366,0.8559,9.1357,7.4925,348.76,16943.59,3.7925,87.152,148.6,129,1370.17,23.7798,4.935,10.3863,1.69,58.495,4.5779,4.929,86.6276,10.2248,1.5901,38.465,9.8787,1.1736,17.5801
2021/8/24,1.6203,1.9558,6.2681,1.4822,1.0711,7.6042,25.533,7.437,0.85578,9.1448,7.4938,349.69,16897,3.7789,87.0625,150,128.74,1369,23.8606,4.9525,10.4003,1.6893,58.783,4.5792,4.928,86.7484,10.209,1.5918,38.595,9.8836,1.174,17.6902
2021/8/23,1.6311,1.9558,6.2826,1.4911,1.0744,7.599,25.514,7.4369,0.85635,9.1313,7.4958,350.13,16870.3,3.7857,86.915,150.2,129.02,1372.54,23.8334,4.952,10.487,1.7063,58.808,4.5868,4.9294,86.8572,10.2573,1.5924,39.091,9.915,1.1718,17.8218
2021/8/20,1.6373,1.9558,6.3622,1.5069,1.0711,7.5854,25.559,7.4368,0.8575,9.0924,7.499,350.92,16887.06,3.7875,86.8025,149.4,127.97,1380.66,23.6848,4.9456,10.6,1.7108,58.765,4.5895,4.9344,86.9259,10.3263,1.5907,38.946,9.9571,1.1671,17.875
2021/8/19,1.6319,1.9558,6.3662,1.4919,1.0723,7.5901,25.501,7.4369,0.85523,9.1121,7.5028,350.98,16922.07,3.8024,86.9975,148.8,128.21,1375.34,23.5852,4.9573,10.545,1.7101,59.084,4.5832,4.9295,86.7175,10.2798,1.5942,38.994,9.9731,1.1696,17.7504
2021/8/18,1.617,1.9558,6.1913,1.4793,1.0726,7.5976,25.447,7.4368,0.85183,9.1299,7.4953,350.52,16872.12,3.79,87.047,148.4,128.67,1371.95,23.4178,4.9682,10.422,1.698,59.15,4.5634,4.9254,86.3484,10.2233,1.5942,39.02,9.938,1.1723,17.4356
2021/8/17,1.6138,1.9558,6.2065,1.4838,1.0713,7.6244,25.441,7.4365,0.85323,9.1704,7.491,351.15,16932.04,3.7991,87.439,148.4,128.57,1381.91,23.4266,4.9869,10.3983,1.6983,59.346,4.5605,4.9256,86.3767,10.1948,1.5993,39.208,9.9113,1.1767,17.4416
2021/8/16,1.6059,1.9558,6.2143,1.4782,1.0758,7.6243,25.427,7.4367,0.84873,9.1641,7.4946,351.89,16920.96,3.7871,87.3695,148.2,128.75,1374.09,23.4319,4.9884,10.4048,1.6754,59.763,4.5653,4.9138,86.4513,10.2008,1.5967,39.371,9.9717,1.1772,17.3852
2021/8/13,1.6006,1.9558,6.1611,1.4724,1.0829,7.6237,25.386,7.437,0.85093,9.1573,7.4983,353.03,16901.56,3.7837,87.374,148,129.64,1369.96,23.3755,4.9854,10.3753,1.6776,59.543,4.574,4.9115,86.2279,10.1993,1.5967,39.213,10.0648,1.1765,17.4561
2021/8/12,1.5963,1.9558,6.1263,1.4694,1.0824,7.6036,25.393,7.4371,0.84743,9.1336,7.4988,353.25,16844.57,3.7817,87.1095,148,129.61,1365.19,23.357,4.9691,10.3755,1.6716,59.231,4.5876,4.9145,86.2888,10.1883,1.5933,38.762,10.0553,1.1739,17.278
2021/8/11,1.5958,1.9558,6.1113,1.4677,1.0818,7.5996,25.405,7.4373,0.84698,9.1187,7.4955,354.84,16881.52,3.7694,87.1605,148,129.68,1357.41,23.5291,4.9684,10.4548,1.6704,59.126,4.5858,4.9163,86.8412,10.2305,1.5924,39.062,10.1467,1.1718,17.3326
2021/8/10,1.5965,1.9558,6.1471,1.4729,1.0813,7.5975,25.382,7.4373,0.84568,9.1228,7.4985,352.86,16863.01,3.7825,87.193,148.2,129.48,1349.76,23.5629,4.9566,10.468,1.6758,59.007,4.5755,4.916,86.3225,10.2145,1.592,39.222,10.0813,1.1722,17.3605
2021/8/9,1.6002,1.9558,6.1735,1.4747,1.0786,7.619,25.391,7.437,0.84745,9.1521,7.4995,353.87,16916.78,3.7851,87.3195,147.8,129.5,1345.82,23.5526,4.9731,10.4885,1.6763,59.275,4.5645,4.9134,86.3776,10.2175,1.5943,39.329,10.1679,1.1761,17.2075
2021/8/6,1.5968,1.9558,6.1594,1.4763,1.0724,7.6379,25.413,7.4371,0.8484,9.1827,7.4978,352.72,16934.12,3.7967,87.4993,147.8,129.64,1349.15,23.5178,4.9814,10.423,1.6737,59.644,4.5563,4.916,86.4194,10.1683,1.5952,39.359,10.1385,1.1807,17.0983
2021/8/5,1.599,1.9558,6.1064,1.4817,1.0733,7.6555,25.415,7.4366,0.8506,9.216,7.5008,353.95,16993.36,3.8035,87.8256,148,129.79,1353.34,23.6112,4.9977,10.441,1.6759,59.66,4.548,4.9159,86.5784,10.1983,1.5996,39.389,10.1155,1.185,17.0232
2021/8/4,1.6002,1.9558,6.161,1.488,1.0729,7.6638,25.44,7.4367,0.85153,9.2236,7.5009,354.24,16965.65,3.8035,87.9575,147.6,129.31,1355.44,23.5576,5.0077,10.455,1.6784,58.988,4.5438,4.9185,86.5106,10.197,1.6,39.272,10.0115,1.1861,16.9211
2021/8/3,1.6086,1.9558,6.1791,1.4874,1.0735,7.6818,25.49,7.4376,0.85355,9.2428,7.5005,354.59,16995.64,3.8211,88.2175,146.6,129.7,1364.59,23.5939,5.0161,10.4343,1.6953,58.946,4.5562,4.9183,86.7063,10.2045,1.6056,39.244,9.9576,1.1885,17.1001
2021/8/2,1.6141,1.9558,6.1459,1.4816,1.0761,7.6807,25.476,7.4381,0.85568,9.2398,7.4963,356.01,17089.57,3.8321,88.396,146.8,130.17,1367.67,23.5605,5.0218,10.4515,1.7041,59.211,4.5562,4.918,86.4182,10.191,1.6069,39.152,9.9181,1.1886,17.0993
2021/7/30,1.6133,1.9558,6.0716,1.4791,1.0771,7.6838,25.501,7.4379,0.8514,9.2451,7.5003,357.2,17184.46,3.8403,88.3941,146.6,130.39,1368.74,23.6277,5.018,10.4405,1.699,59.479,4.5636,4.9203,86.7116,10.1868,1.609,39.098,9.9985,1.1891,17.3283
2021/7/29,1.6062,1.9558,6.0419,1.4808,1.0788,7.6691,25.506,7.4376,0.8508,9.2272,7.5085,358.08,17172.66,3.8521,88.1675,147.2,130.41,1360.07,23.5655,5.0324,10.3993,1.6986,59.722,4.5782,4.9215,87.0021,10.1675,1.6072,39.003,10.0851,1.1873,17.3117
2021/7/28,1.6081,1.9558,6.0931,1.484,1.0802,7.6722,25.625,7.4373,0.85095,9.188,7.5066,359.72,17117.84,3.8492,87.833,148.4,129.97,1362.99,23.5823,5.0003,10.4828,1.7013,59.465,4.5965,4.9213,86.7666,10.1963,1.6057,38.78,10.0973,1.1807,17.4792
2021/7/27,1.6029,1.9558,6.1288,1.4839,1.0806,7.6799,25.685,7.4371,0.85503,9.1915,7.5064,359.43,17109.52,3.8411,87.913,149,129.98,1360.75,23.6687,4.999,10.4423,1.6956,59.553,4.5906,4.9196,87.0133,10.165,1.6059,38.926,10.107,1.181,17.5332
2021/7/26,1.601,1.9558,6.1546,1.4804,1.0826,7.6426,25.629,7.4372,0.85468,9.1656,7.5245,361.65,17084.23,3.8487,87.7305,148.6,130.05,1360.69,23.6826,4.9877,10.427,1.6889,59.342,4.5888,4.9223,87.1713,10.205,1.6032,38.832,10.0973,1.1787,17.4846
2021/7/23,1.5944,1.9558,6.1009,1.4788,1.0838,7.6224,25.65,7.4382,0.85543,9.142,7.5353,359.13,17050.24,3.851,87.5905,149,130.11,1354.19,23.6237,4.9733,10.4065,1.6846,59.12,4.5691,4.9227,86.6254,10.2105,1.5997,38.743,10.0573,1.1767,17.3882
2021/7/22,1.5959,1.9558,6.1029,1.4779,1.0829,7.6153,25.639,7.4382,0.85563,9.1506,7.532,357.87,17063.23,3.8524,87.6615,148.2,129.83,1352.59,23.729,4.9726,10.3795,1.6906,58.921,4.5661,4.9227,86.9522,10.2245,1.602,38.704,10.0717,1.1775,17.1449
2021/7/21,1.6089,1.9558,6.1732,1.4932,1.0848,7.6201,25.695,7.4385,0.86363,9.1518,7.5276,360.2,17119.8,3.8755,87.7895,148,129.63,1359.56,23.774,4.9825,10.5808,1.7004,59.396,4.5987,4.9255,87.5209,10.2448,1.6104,38.695,10.1063,1.1772,17.2811
2021/7/20,1.6082,1.9558,6.1633,1.5023,1.0838,7.6305,25.642,7.4381,0.86545,9.1529,7.521,359.45,17143.51,3.881,87.921,146.9,129.03,1352.39,23.599,4.9743,10.617,1.7049,60.005,4.5954,4.9255,87.6775,10.2535,1.6106,38.634,10.0664,1.1775,17.1349
2021/7/19,1.6043,1.9558,6.0813,1.5028,1.084,7.6344,25.605,7.4377,0.85913,9.1419,7.5065,359.48,17144.2,3.8781,88.226,146.1,128.96,1357.53,23.5865,4.9717,10.538,1.6986,59.865,4.5885,4.9268,87.9317,10.2533,1.6045,38.663,10.1142,1.1766,17.0741
2021/7/16,1.5907,1.9558,6.0146,1.4856,1.0853,7.6373,25.538,7.4381,0.85298,9.1684,7.4968,359.73,17083.05,3.8796,88.031,145.9,130.03,1347.94,23.4589,4.9681,10.3878,1.6836,59.364,4.5867,4.9285,87.5186,10.2428,1.5993,38.669,10.0521,1.1802,16.984
2021/7/15,1.5876,1.9558,6.0075,1.4808,1.0828,7.6304,25.587,7.4375,0.85188,9.1726,7.4918,359.45,17143.25,3.8553,88.051,146.1,129.93,1350.13,23.5383,4.9627,10.3803,1.6888,59.272,4.5748,4.929,87.5176,10.2335,1.5995,38.598,10.1061,1.1809,17.2028
2021/7/14,1.5817,1.9558,6.0591,1.4732,1.084,7.6268,25.646,7.4376,0.85158,9.1742,7.4928,358.08,17107.91,3.8672,87.9885,146.3,130.3,1355.24,23.5734,4.9616,10.332,1.6819,59.365,4.5736,4.9287,87.4789,10.205,1.599,38.525,10.1485,1.1812,17.2975
2021/7/13,1.584,1.9558,6.1316,1.4782,1.0857,7.6598,25.644,7.438,0.85518,9.197,7.492,356.67,17142.99,3.8844,88.2879,146.5,130.55,1356.76,23.555,4.965,10.3085,1.6981,59.239,4.5687,4.9276,87.8029,10.1818,1.6014,38.635,10.1726,1.1844,17.2735
2021/7/12,1.5888,1.9558,6.2426,1.4813,1.0852,7.6751,25.723,7.4375,0.8557,9.2052,7.4948,355.38,17199.18,3.892,88.411,146.3,130.55,1361.95,23.6064,4.9678,10.328,1.7019,59.847,4.5542,4.928,88.4389,10.2008,1.6027,38.732,10.2372,1.1852,17.1471
2021/7/9,1.5868,1.9558,6.2369,1.4817,1.0852,7.6834,25.791,7.4367,0.85758,9.2117,7.4929,355.1,17190.24,3.8924,88.371,146.3,130.46,1358.2,23.58,4.9691,10.3355,1.6982,59.384,4.5497,4.9286,88.0163,10.1853,1.6029,38.598,10.277,1.1858,16.8759
2021/7/8,1.5957,1.9558,6.2463,1.4893,1.0851,7.6832,25.894,7.4366,0.86133,9.1967,7.4913,358.57,17280.56,3.8823,88.6073,146.3,129.91,1361.34,23.7922,4.9501,10.4138,1.7048,59.347,4.5504,4.9272,89.0266,10.1908,1.602,38.497,10.2904,1.1838,17.0554
2021/7/7,1.5711,1.9558,6.1224,1.4708,1.0917,7.6478,25.688,7.4361,0.855,9.19,7.4867,355.57,17146.47,3.865,88.2825,146.3,130.86,1344.89,23.5724,4.9241,10.2475,1.676,58.96,4.5192,4.9268,87.8009,10.1813,1.5924,38.173,10.2566,1.1831,16.8666
2021/7/6,1.5633,1.9558,6.0292,1.464,1.093,7.6545,25.61,7.4361,0.8545,9.1942,7.4855,353.4,17151.39,3.8643,88.2126,147.1,130.99,1341.67,23.459,4.9193,10.215,1.6703,58.753,4.4941,4.9264,86.9726,10.149,1.592,38.13,10.2514,1.1838,16.8278
2021/7/5,1.576,1.9558,6.0069,1.4669,1.0935,7.6677,25.586,7.436,0.85665,9.2182,7.4885,351.53,17176.31,3.8713,88.1605,147.1,131.58,1341.22,23.5266,4.9315,10.1778,1.6901,58.491,4.5059,4.9261,87.06,10.1435,1.596,38.114,10.2889,1.1866,16.8813
2021/7/2,1.5836,1.9558,5.9421,1.4677,1.0945,7.6594,25.606,7.436,0.86003,9.1838,7.4887,352.1,17191.94,3.8708,88.3055,147.3,131.74,1343.49,23.5936,4.9225,10.2375,1.6988,58.423,4.5264,4.9283,87.12,10.1583,1.5969,38.052,10.278,1.1823,17.0787
2021/7/1,1.5836,1.9558,5.8955,1.4698,1.0985,7.6842,25.507,7.436,0.86033,9.2273,7.4893,351.86,17259.71,3.8748,88.559,146.7,132.42,1345.86,23.727,4.9426,10.2105,1.6965,58.493,4.5164,4.9275,86.6085,10.1738,1.5989,38.088,10.3307,1.1884,16.9744
